@relation XYdata

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {1,2}

@data
1.619663,-0.335151,-0.064738,2
1.885167,0.361888,0.197757,2
-0.094684,0.181162,-0.059004,2
2.115772,0.294688,0.134785,2
1.740862,-0.064985,0.088606,2
0.559618,-0.328444,0.123494,2
1.533584,-0.355175,-0.049618,2
0.266177,-0.17053,-0.004658,2
1.818823,-0.006635,-0.156671,2
1.617314,0.045041,0.100194,2
2.041228,0.407664,0.18448,2
0.789979,-0.407771,-0.033803,2
-0.026418,0.271872,-0.021432,2
1.946597,0.19712,0.162146,2
1.616394,-0.287753,-0.01978,2
0.462602,-0.398051,0.139151,2
0.996484,-0.537048,-0.072056,2
1.826062,0.156816,0.136622,2
0.205473,-0.141044,-0.031605,2
1.145771,-0.549767,0.108319,2
0.187123,0.156329,-0.264819,2
2.038991,0.573466,-0.054821,2
0.055451,0.469564,0.116377,2
0.530878,-0.576802,0.13763,2
1.463652,-0.322449,0.029569,2
1.994785,-0.03057,-0.061393,2
0.127022,0.029136,-0.027511,2
0.758206,-0.734098,0.14089,2
-0.180738,0.59389,-0.005519,2
1.877413,0.088973,0.062838,2
-0.009965,0.223244,0.158506,2
1.995809,0.291237,0.089911,2
0.746912,-0.367302,-0.014414,2
0.637142,-0.706347,-0.014757,2
0.098051,0.242269,-0.076001,2
1.710156,-0.080268,-0.116656,2
1.75021,-0.129116,-0.024075,2
1.718114,-0.473862,0.103648,2
0.28355,-0.2343,0.192297,2
-0.011264,-0.009367,-0.065108,2
0.030919,0.266235,-0.094021,2
0.392566,-0.131744,0.047322,2
1.044594,-0.364778,-0.087315,2
1.006178,-0.484431,0.042753,2
2.019774,0.135158,0.053888,2
1.834969,-0.065935,0.111736,2
1.307003,-0.397004,0.129673,2
0.52555,-0.21128,0.145542,2
1.38189,-0.372726,0.146695,2
1.806192,0.462012,-0.038162,2
1.688831,-0.076813,0.003364,2
0.106727,0.407792,-0.130087,2
1.344412,-0.386645,0.121445,2
1.828685,0.353395,0.095493,2
0.98216,-0.438123,-0.064497,2
1.517956,-0.355925,-0.021633,2
2.047546,0.430131,0.00977,2
0.67208,-0.316572,0.162334,2
0.10826,-0.054791,-0.076424,2
1.843191,-0.244947,-0.040352,2
0.103254,0.09472,0.000009,2
1.544435,-0.391424,-0.098977,2
-0.060161,0.482488,-0.042556,2
1.547311,-0.376477,-0.006813,2
-0.042344,0.156625,-0.016961,2
0.234401,-0.097751,-0.101177,2
1.976159,0.350776,0.102112,2
1.813345,-0.143011,0.017423,2
0.288222,0.002957,-0.049636,2
1.292017,-0.639576,0.066621,2
1.760597,0.104921,0.057693,2
2.01918,0.38112,-0.030817,2
1.755683,-0.266197,0.087045,2
1.284407,-0.398579,-0.092739,2
0.401448,-0.338977,0.14799,2
0.381202,-0.23334,-0.019844,2
1.880537,-0.052776,-0.004124,2
1.471966,-0.40563,0.11553,2
0.740358,-0.386691,-0.10703,2
0.391518,-0.033673,0.197871,2
0.29899,-0.320335,-0.019566,2
0.119827,0.437745,0.047489,2
1.839735,-0.025368,-0.060256,2
1.660151,-0.239486,0.044553,2
0.777726,-0.511199,0.002706,2
1.83158,0.073842,-0.039172,2
0.488379,-0.258213,-0.097291,2
1.976806,0.058065,-0.061265,2
0.810459,-0.357105,-0.054256,2
0.119695,-0.015795,-0.103336,2
-0.034994,0.461415,0.100279,2
1.693864,-0.209907,-0.075696,2
1.997785,0.363523,-0.010745,2
0.302069,0.071733,0.019456,2
0.212691,-0.258781,-0.050208,2
0.113578,0.090804,0.201333,2
0.491938,-0.346507,0.050041,2
0.483638,-0.351164,-0.147898,2
-0.161142,0.228555,-0.160904,2
0.540245,-0.517853,-0.058488,2
1.928151,0.096357,-0.100395,2
1.186128,-0.398392,-0.027955,2
1.878091,-0.251069,-0.018264,2
1.989694,0.414251,0.030808,2
-0.047874,0.063558,0.060043,2
1.115712,-0.409444,0.10175,2
1.684992,-0.456521,0.114999,2
1.020068,-0.558861,0.187583,2
1.578475,-0.237327,0.031699,2
2.042586,0.189786,0.020072,2
0.039632,0.483809,-0.219055,2
1.776287,-0.0888,0.05863,2
1.805622,0.395514,-0.077487,2
0.265671,-0.092767,0.198455,2
0.090699,0.498311,-0.108281,2
0.640516,-0.529944,0.0868,2
0.698418,-0.520875,-0.097497,2
0.227809,-0.282426,-0.069621,2
1.556278,-0.396614,-0.066734,2
1.275667,-0.471914,-0.037545,2
1.768451,-0.164142,0.106642,2
0.152795,0.028368,-0.08059,2
1.541114,-0.256834,-0.255779,2
0.02638,0.405162,-0.01821,2
0.399347,-0.41136,-0.089418,2
1.019828,-0.417263,0.032539,2
1.450932,-0.168545,-0.079338,2
0.119119,-0.116853,0.014068,2
1.647659,-0.255161,0.115567,2
2.136728,0.293423,-0.041227,2
1.725713,-0.098018,0.128391,2
1.772708,0.029218,0.049467,2
0.787713,-0.421227,0.225917,2
0.076033,0.194335,0.038609,2
-0.083903,0.371494,-0.063719,2
-0.169871,0.312353,-0.051832,2
1.219505,-0.49815,0.004398,2
1.873105,-0.154935,0.026958,2
1.86888,0.360595,0.022603,2
0.921403,-0.579346,-0.083123,2
0.214339,-0.076658,-0.059839,2
1.660026,-0.126929,-0.067887,2
1.480268,-0.116801,0.000466,2
0.011716,0.461986,-0.070288,2
1.735887,-0.135284,0.053726,2
1.149753,-0.646112,0.069803,2
1.234241,-0.505406,-0.131049,2
0.710679,-0.215207,0.066424,2
1.020506,-0.467735,0.056898,2
1.939825,0.484233,0.095109,2
1.839255,0.116658,-0.095675,2
1.843191,0.192342,-0.09027,2
1.850708,0.397003,-0.020454,2
0.848715,-0.39869,0.333957,2
0.194843,0.056046,-0.167692,2
1.584252,-0.298884,0.002467,2
0.867538,-0.563863,-0.087371,2
0.802096,-0.579579,-0.051494,2
1.479822,0.036759,0.011107,2
1.79265,0.066278,0.012711,2
1.827944,0.32263,0.062582,2
1.793688,-0.048697,-0.053286,2
1.773758,-0.470597,-0.074573,2
1.606159,-0.092811,0.090811,2
1.678127,-0.305729,0.09476,2
-0.096149,0.507789,-0.057987,2
1.968064,0.400906,0.155442,2
0.983247,-0.546533,-0.041882,2
1.848466,0.250475,0.056381,2
0.970208,-0.418861,-0.023453,2
0.117862,-0.23527,-0.042317,2
2.087626,0.046149,0.038258,2
0.037969,0.07375,0.116501,2
0.526391,-0.110187,0.011225,2
0.654355,-0.438292,0.003407,2
0.595794,-0.490374,-0.035141,2
0.032187,-0.01645,0.105918,2
1.300278,-0.556912,0.064029,2
1.062234,-0.526891,-0.244915,2
1.047719,-0.473897,-0.068177,2
1.378143,-0.479116,0.032722,2
-0.012103,0.419545,0.019651,2
1.945459,0.050352,-0.064334,2
1.548906,-0.14842,-0.059045,2
0.688403,-0.343878,-0.122717,2
1.671834,0.052973,-0.091253,2
0.813989,-0.263311,-0.034583,2
0.099869,0.125679,0.299156,2
0.253015,0.215967,0.048795,2
0.715,-0.404419,0.068073,2
1.442816,-0.529872,0.113827,2
1.938397,0.09938,0.111893,2
0.088894,0.042026,-0.011507,2
1.804875,-0.083228,0.089919,2
2.119807,0.074905,0.086282,2
1.812739,0.103589,0.072679,2
1.346027,-0.499232,0.265712,2
